timestamp_start,timestamp_end,provider,model,requests,total_cost,currency,source_event_id,workload,input_tokens,cached_input_tokens,output_tokens,successes,failures,latency_p50_ms,latency_p95_ms,granularity,configuration_id,operation_id,attempt_number,retry_count,stable_prefix_hash,stable_prefix_tokens,cache_eligible_input_tokens
2026-08-25T00:00:00Z,2026-08-26T00:00:00Z,openai,model-a,1070,85.70,USD,cls-10,classification,877400,224700,101650,1049,21,650,960,AGGREGATE_BUCKET,model-a,cls-op-10,1,0,hash-cls-2,192600,749000
2026-08-25T00:00:00Z,2026-08-26T00:00:00Z,anthropic,model-x,570,43.10,USD,ext-10,extraction,684000,182400,74100,562,8,780,1100,AGGREGATE_BUCKET,model-x,ext-op-10,1,0,hash-ext-1,142500,513000
2026-08-26T00:00:00Z,2026-08-27T00:00:00Z,openai,model-a,1077,86.07,USD,cls-11,classification,883140,226170,102315,1055,22,653,965,AGGREGATE_BUCKET,model-a,cls-op-11,1,1,hash-cls-3,193860,753900
2026-08-26T00:00:00Z,2026-08-27T00:00:00Z,anthropic,model-x,575,43.31,USD,ext-11,extraction,690000,184000,74750,566,9,784,1106,AGGREGATE_BUCKET,model-x,ext-op-11,1,0,hash-ext-2,143750,517500
2026-08-27T00:00:00Z,2026-08-28T00:00:00Z,openai,model-a,1084,86.44,USD,cls-12,classification,888880,227640,102980,1064,20,656,970,AGGREGATE_BUCKET,model-a,cls-op-12,1,0,hash-cls-0,195120,758800
2026-08-27T00:00:00Z,2026-08-28T00:00:00Z,anthropic,model-x,580,43.52,USD,ext-12,extraction,696000,185600,75400,572,8,788,1112,AGGREGATE_BUCKET,model-x,ext-op-12,1,0,hash-ext-0,145000,522000
2026-08-28T00:00:00Z,2026-08-29T00:00:00Z,openai,model-a,1091,86.81,USD,cls-13,classification,894620,229110,103645,1070,21,659,975,AGGREGATE_BUCKET,model-a,cls-op-13,1,1,hash-cls-1,196380,763700
2026-08-28T00:00:00Z,2026-08-29T00:00:00Z,anthropic,model-x,585,43.73,USD,ext-13,extraction,702000,187200,76050,576,9,792,1118,AGGREGATE_BUCKET,model-x,ext-op-13,1,0,hash-ext-1,146250,526500
2026-08-15T00:00:00Z,2026-08-16T00:00:00Z,openai,model-a,1000,82.00,USD,cls-00,classification,820000,210000,95000,980,20,620,910,AGGREGATE_BUCKET,model-a,cls-op-00,1,0,hash-cls-0,180000,700000
2026-08-15T00:00:00Z,2026-08-16T00:00:00Z,openai,model-a,1000,99.99,USD,cls-00,classification,820000,210000,95000,980,20,620,910,AGGREGATE_BUCKET,model-a,cls-op-00,1,0,hash-cls-0,180000,700000
2026-08-16T00:00:00Z,2026-08-17T00:00:00Z,openai,model-a,1007,-1.00,USD,bad-negative-cost,classification,825740,211470,95665,986,21,623,915,AGGREGATE_BUCKET,model-a,cls-op-01,1,1,hash-cls-1,181260,704900
2026-08-17T00:00:00Z,2026-08-17T00:00:00Z,openai,model-a,1014,82.74,USD,bad-time,classification,831480,212940,96330,992,22,626,920,AGGREGATE_BUCKET,model-a,cls-op-02,1,0,hash-cls-2,182520,709800
2026-08-18T00:00:00Z,2026-08-19T00:00:00Z,openai,model-a,1021,83.11,USD,bad-counts,classification,837220,214410,96995,1021,1,629,925,AGGREGATE_BUCKET,model-a,cls-op-03,1,1,hash-cls-3,183780,714700
2026-08-19T00:00:00Z,2026-08-20T00:00:00Z,openai,model-a,1.5,83.48,USD,bad-requests,classification,842960,215880,97660,1007,21,632,930,AGGREGATE_BUCKET,model-a,cls-op-04,1,0,hash-cls-0,185040,719600
